Requirement;ExpirationDate;LabName
sudo /opt/onos/bin/onos-service start;31.10.2021;PKC_ONOS
sudo python onos_lab.py;31.10.2021;PKC_ONOS
ssh -p 8101 karaf@127.0.0.1;31.10.2021;PKC_ONOS
